annotation_id,dataset,query_id,system,query_text,reference_answer,generated_answer,selected_doc_ids,relevant_doc_ids,auto_answer_f1,auto_answer_coverage,auto_semantic_similarity,total_tokens,fallback_used,fallback_reason,human_correctness,human_failure_type,human_notes
scifact_004_SystemA,scifact,475,System A,Glycolysis is one of the primary glycometabolic pathways in cells.,Glycolysis is indeed a primary glycometabolic pathway in cells.,"The provided documents do not explicitly state that glycolysis is one of the primary glycometabolic pathways in cells. However, they do discuss glycolysis as a metabolic pathway that is altered in various cell types, including cancer cells and immune cells, and its role in energy production and biosynthesis. 

While the documents provide evidence that glycolysis is an important metabolic pathway, they do not","[""23576165"", ""195689757"", ""8477699"", ""23148978"", ""8724666"", ""1917068"", ""4423401"", ""7454794"", ""27647593"", ""6061927""]","[""18678095""]",0.222222,0.888889,0.865673,2893,False,,,,
scifact_004_SystemB,scifact,475,System B,Glycolysis is one of the primary glycometabolic pathways in cells.,Glycolysis is indeed a primary glycometabolic pathway in cells.,"The provided documents do not explicitly state that glycolysis is one of the primary glycometabolic pathways in cells. However, they do discuss glycolysis as a metabolic pathway that is altered in various cell types, including cancer cells and immune cells. 

Documents 1, 2, 3, 4, 5, 7, and 9 mention glycolysis as a","[""23576165"", ""195689757"", ""8477699"", ""23148978"", ""8724666"", ""1917068"", ""4423401"", ""7454794"", ""27647593"", ""6061927""]","[""18678095""]",0.258065,0.888889,0.867709,5771,True,"top_3_compact:low_context_query_coverage,verbose_answer;top_3_full:low_context_query_coverage,verbose_answer;top_5_compact:low_context_query_coverage,verbose_answer",,,
scifact_005_SystemA,scifact,533,System A,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,High plasma fibrinogen levels are associated with increased femoropopliteal bypass graft occlusion.,"The evidence is insufficient to determine whether hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis. While Document 2 mentions that high plasma fibrinogen concentration is associated with increased risk of graft occlusion, it does not specifically address the relationship between hyperfibrinogenemia and femoropopliteal bypass thrombosis. Therefore, more information is","[""1387104"", ""12991445"", ""5238341"", ""34338075"", ""79231308"", ""19332616"", ""14973286"", ""19482914"", ""20128547"", ""27054878""]","[""12991445""]",0.333333,0.833333,0.856849,4177,False,,,,
scifact_005_SystemC,scifact,533,System C,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,High plasma fibrinogen levels are associated with increased femoropopliteal bypass graft occlusion.,"The evidence is insufficient to directly answer the question. However, Document 2 provides some relevant information. It states that high plasma fibrinogen concentration is associated with lower patency of femoropopliteal vein grafts, implying that hyperfibrinogenemia may increase the risk of thrombosis in these grafts. While this document does not directly address the relationship between hyperfibr","[""1387104"", ""12991445"", ""5238341""]","[""12991445""]",0.179104,0.5,0.706051,1599,False,,,,
scifact_005_SystemB,scifact,533,System B,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,High plasma fibrinogen levels are associated with increased femoropopliteal bypass graft occlusion.,"The evidence is insufficient. The provided documents do not contain enough information to confirm that hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis. While Document 2 mentions fibrinogen as a plasma factor that may affect the patency of femoropopliteal bypass grafts, it does not specifically state the relationship between hyperfibrinogenemia and","[""1387104"", ""12991445"", ""5238341""]","[""12991445""]",0.129032,0.333333,0.782674,419,False,,,,
scifact_006_SystemA,scifact,56,System A,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,"The evidence supports the claim that APOE4 expression in iPSC-derived neurons increases Aβ production and tau phosphorylation, leading to GABA neuron degeneration.","The evidence is insufficient to fully support the statement that APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.

While Document 1 states that ApoE4-expressing neurons had higher levels of tau phosphorylation and displayed GABAergic neuron degeneration, it does not explicitly state that AlphaBeta production is increased in these neurons.","[""4709641"", ""22185730"", ""22116439"", ""11659421"", ""35520219"", ""10273147"", ""6722522"", ""24512417"", ""4446814"", ""33911859""]","[""4709641""]",0.469136,0.818182,0.874911,3211,False,,,,
scifact_006_SystemC,scifact,56,System C,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,"The evidence supports the claim that APOE4 expression in iPSC-derived neurons increases Aβ production and tau phosphorylation, leading to GABA neuron degeneration.","The provided documents do contain evidence related to the question. 

Document 1 states that ApoE4-expressing neurons had higher levels of tau phosphorylation and displayed GABAergic neuron degeneration. It also mentions that ApoE4 increased Aβ production in human neurons. 

Although the documents do not explicitly state that APOE4 expression in iPSC-derived neurons increases AlphaBeta production","[""4709641"", ""22185730"", ""22116439"", ""11659421"", ""35520219"", ""10273147"", ""6722522""]","[""4709641""]",0.481013,0.818182,0.895944,2486,False,,,,
scifact_006_SystemB,scifact,56,System B,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,"The evidence supports the claim that APOE4 expression in iPSC-derived neurons increases Aβ production and tau phosphorylation, leading to GABA neuron degeneration.","The evidence is insufficient to fully support the statement. 

While Document 1 states that ApoE4 expression in human iPSC-derived neurons increases tau phosphorylation and causes GABAergic neuron degeneration, and also increases Aβ production, it does not explicitly mention ""AlphaBeta"" production. However, it can be inferred that ""AlphaBeta"" might be referring to ""Aβ"" (amy","[""4709641"", ""22185730"", ""22116439""]","[""4709641""]",0.493506,0.818182,0.745635,891,False,,,,
scifact_007_SystemB,scifact,569,System B,"In adult tissue, most T cells are memory T cells.","In adult tissue, most T cells are memory T cells.","The statement ""In adult tissue, most T cells are memory T cells"" can be confirmed based on the information provided in Document 2, which states: ""Whereas adult tissues contain a predominance of memory T cells..."" This indicates that in adult tissue, memory T cells are the predominant type of T cell, supporting the statement.","[""21320417"", ""23460562"", ""3155731""]","[""23460562""]",0.3125,1.0,0.876365,655,False,,,,
scifact_007_SystemC,scifact,569,System C,"In adult tissue, most T cells are memory T cells.","In adult tissue, most T cells are memory T cells.","The statement ""In adult tissue, most T cells are memory T cells"" can be supported by Document 2, which states: ""Whereas adult tissues contain a predominance of memory T cells..."". This indicates that in adult tissues, memory T cells are the predominant subset of T cells, suggesting that most T cells in adult tissue are indeed memory T cells.","[""21320417"", ""23460562"", ""3155731"", ""18834078"", ""13636631"", ""24879055"", ""6961811""]","[""23460562""]",0.289855,1.0,0.891863,1595,False,,,,
scifact_007_SystemA,scifact,569,System A,"In adult tissue, most T cells are memory T cells.","In adult tissue, most T cells are memory T cells.","The statement ""In adult tissue, most T cells are memory T cells"" can be supported by the provided documents. 

Document 2 states: ""Whereas adult tissues contain a predominance of memory T cells, in pediatric blood and tissues the main subset consists of naive recent thymic emigrants..."" This suggests that in adult tissues, memory T cells are the predominant subset, supporting the statement.","[""21320417"", ""23460562"", ""3155731"", ""18834078"", ""13636631"", ""24879055"", ""6961811"", ""37311371"", ""3835423"", ""991137""]","[""23460562""]",0.277778,1.0,0.863972,2123,False,,,,
scifact_008_SystemB,scifact,587,System B,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",The evidence is insufficient.,"The evidence is insufficient. The provided documents do not contain information about the colocalization of green fluorescent protein with cell proliferation markers in transgenic mice harboring green fluorescent protein under the control of the Sox2 promoter. While Document 1 mentions Sox2-GFP transgenic mice, it does not provide the specific information needed to answer the question.","[""16999023"", ""2296264"", ""21230110""]","[""16999023""]",0.133333,1.0,0.0,1003,False,,,,
scifact_008_SystemC,scifact,587,System C,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",The evidence is insufficient.,"The evidence is insufficient. The provided documents do not contain information about the colocalization of green fluorescent protein with cell proliferation markers in transgenic mice harboring green fluorescent protein under the control of the Sox2 promoter. While Document 1 mentions Sox2-GFP transgenic mice, it does not provide the specific information needed to answer the question.","[""16999023"", ""2296264"", ""21230110"", ""25028913"", ""19205326"", ""22705234"", ""25157790""]","[""16999023""]",0.133333,1.0,0.0,2781,False,,,,
scifact_008_SystemA,scifact,587,System A,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",The evidence is insufficient.,"The evidence is insufficient to answer the question. The provided documents do not contain information about the colocalization of green fluorescent protein with cell proliferation markers in transgenic mice harboring green fluorescent protein under the control of the Sox2 promoter. While Document 1 mentions Sox2-GFP transgenic mice, it does not provide the specific information required to answer the question.","[""16999023"", ""2296264"", ""21230110"", ""25028913"", ""19205326"", ""22705234"", ""25157790"", ""40558887"", ""5085118"", ""7142113""]","[""16999023""]",0.125,1.0,0.0,3854,False,,,,
scifact_009_SystemC,scifact,700,System C,Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,The evidence is insufficient.,The evidence is insufficient. None of the provided documents mention PIN1 or VPS9a in relation to Arabidopsis embryo localization.,"[""25670099"", ""16557565"", ""18264714"", ""313394"", ""36618603"", ""4335599"", ""8536018""]","[""4350400""]",0.347826,1.0,0.061083,2036,False,,,,
scifact_009_SystemA,scifact,700,System A,Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,The evidence is insufficient.,"The evidence is insufficient. None of the provided documents mention PIN1 or VPS9a in relation to Arabidopsis embryo localization. Therefore, it is not possible to determine if the localization of PIN1 in the Arabidopsis embryo requires VPS9a based on the given documents.","[""25670099"", ""16557565"", ""18264714"", ""313394"", ""36618603"", ""4335599"", ""8536018"", ""28071965"", ""1871230"", ""14972169""]","[""4350400""]",0.173913,1.0,0.075404,2925,False,,,,
scifact_009_SystemB,scifact,700,System B,Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,The evidence is insufficient.,The evidence is insufficient. The provided documents do not contain information about the localization of PIN1 in the Arabidopsis embryo or its relationship with VPS9a.,"[""25670099"", ""16557565"", ""18264714""]","[""4350400""]",0.275862,1.0,0.050946,753,False,,,,
scifact_010_SystemA,scifact,728,System A,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,"The evidence contradicts the claim; Ly6C hi monocytes are increased and preferentially recruited during inflammation, indicating a higher inflammatory capacity than Ly6C lo monocytes.","The provided documents do not contain sufficient evidence to support the claim that Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes. In fact, Document 3 suggests that Ly-6C(high) monocytes are recruited to inflammatory sites and have an increased capacity to become recruited to inflammatory sites under inflammatory conditions. Document 10 also suggests that Ly6Chi monocytes play","[""7521113"", ""22406695"", ""36444198"", ""7489663"", ""14492339"", ""7948486"", ""12827098"", ""2605032"", ""8317408"", ""22621251""]","[""7521113"", ""36444198""]",0.418605,0.714286,0.959606,3364,False,,,,
scifact_010_SystemB,scifact,728,System B,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,"The evidence contradicts the claim; Ly6C hi monocytes are increased and preferentially recruited during inflammation, indicating a higher inflammatory capacity than Ly6C lo monocytes.","The evidence is insufficient to support the claim that Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes. While Document 3 mentions that Ly-6C(high) monocytes are recruited to inflammatory sites and increase in number under inflammatory conditions, it does not provide a direct comparison of the inflammatory capacity of Ly6C hi and Ly6C lo monocytes. In","[""7521113"", ""22406695"", ""36444198""]","[""7521113"", ""36444198""]",0.4,0.666667,0.969228,812,False,,,,
scifact_010_SystemC,scifact,728,System C,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,"The evidence contradicts the claim; Ly6C hi monocytes are increased and preferentially recruited during inflammation, indicating a higher inflammatory capacity than Ly6C lo monocytes.","The evidence is insufficient to support the claim that Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes. 

While Document 3 mentions that under inflammatory conditions, there is a significant increase in immature Ly-6C(high) monocytes, it does not directly compare the inflammatory capacity of Ly6C hi and Ly6C lo monocytes. Document 2 describes","[""7521113"", ""22406695"", ""36444198"", ""7489663"", ""14492339""]","[""7521113"", ""36444198""]",0.365854,0.571429,0.963429,1418,False,,,,
scifact_011_SystemA,scifact,820,System A,N-terminal cleavage increases success identifying transcription start sites.,The evidence is insufficient.,The evidence is insufficient to answer the question. None of the provided documents mention the relationship between N-terminal cleavage and the identification of transcription start sites.,"[""8646760"", ""47240151"", ""3346812"", ""35448676"", ""16108876"", ""16691520"", ""5116145"", ""26108767"", ""16167746"", ""18375089""]","[""8646760""]",0.258065,1.0,0.108976,2844,False,,,,
scifact_011_SystemB,scifact,820,System B,N-terminal cleavage increases success identifying transcription start sites.,The evidence is insufficient.,The evidence is insufficient. None of the provided documents mention N-terminal cleavage or its relation to identifying transcription start sites.,"[""8646760"", ""47240151"", ""3346812""]","[""8646760""]",0.32,1.0,0.247794,565,False,,,,
scifact_011_SystemC,scifact,820,System C,N-terminal cleavage increases success identifying transcription start sites.,The evidence is insufficient.,"The evidence is insufficient. None of the provided documents mention N-terminal cleavage in relation to identifying transcription start sites. They discuss various topics such as protein modifications, lipid binding, DNA methylation, pre-mRNA processing, evolution of cooperation, estrogen receptor binding, and yeast transcription factor motifs, but do not provide information on the specific relationship between N-terminal cleavage and transcription start site identification.","[""8646760"", ""47240151"", ""3346812"", ""35448676"", ""16108876"", ""16691520"", ""5116145""]","[""8646760""]",0.117647,1.0,0.006702,1892,False,,,,
scifact_012_SystemA,scifact,821,System A,N-terminal cleavage reduces success identifying transcription start sites.,The evidence is insufficient.,"The evidence is insufficient to answer the question. The provided documents do not contain information about the relationship between N-terminal cleavage and the identification of transcription start sites. They discuss various topics such as protein modifications, DNA methylation, mRNA polyadenylation, and transcription factors, but do not address the specific question about N-terminal cleavage and transcription start site identification.","[""8646760"", ""47240151"", ""3346812"", ""35448676"", ""26108767"", ""16108876"", ""16691520"", ""5116145"", ""16167746"", ""18375089""]","[""8646760""]",0.125,1.0,0.058943,2886,False,,,,
scifact_012_SystemC,scifact,821,System C,N-terminal cleavage reduces success identifying transcription start sites.,The evidence is insufficient.,The evidence is insufficient. None of the provided documents mention the relationship between N-terminal cleavage and the identification of transcription start sites.,"[""8646760"", ""47240151"", ""3346812"", ""35448676"", ""26108767"", ""16108876"", ""16691520""]","[""8646760""]",0.296296,1.0,0.153041,2033,False,,,,
scifact_012_SystemB,scifact,821,System B,N-terminal cleavage reduces success identifying transcription start sites.,The evidence is insufficient.,"The evidence is insufficient. The provided documents do not mention N-terminal cleavage or its effect on identifying transcription start sites. They discuss various biological topics, including protein modifications, lipid binding, and DNA methylation, but do not address the specific question.","[""8646760"", ""47240151"", ""3346812""]","[""8646760""]",0.177778,1.0,0.092736,591,False,,,,
scifact_013_SystemC,scifact,839,System C,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,"Aptamer-functionalized lipid nanoparticles can be directed to specific cell types, such as osteoblasts, enabling targeted delivery.","The evidence is sufficient to answer the question. According to Document 6, nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles. The document specifically mentions that aptamer-functionalized lipid nanoparticles can target osteoblasts, demonstrating the potential for targeted delivery of therapeutic agents to specific cell types.","[""169264"", ""17327939"", ""6219790"", ""31715818"", ""13923069"", ""1469751"", ""719812""]","[""1469751""]",0.382353,0.764706,0.928147,2065,False,,,,
scifact_013_SystemA,scifact,839,System A,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,"Aptamer-functionalized lipid nanoparticles can be directed to specific cell types, such as osteoblasts, enabling targeted delivery.","The evidence is sufficient to answer the question. According to Document 6, nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles. The document specifically mentions that aptamer-functionalized lipid nanoparticles can target osteoblasts, demonstrating the potential for targeted delivery of therapeutic agents to specific cell types.","[""169264"", ""17327939"", ""6219790"", ""31715818"", ""13923069"", ""1469751"", ""719812"", ""13764090"", ""38300781"", ""13794374""]","[""1469751""]",0.382353,0.764706,0.928147,2779,False,,,,
scifact_013_SystemB,scifact,839,System B,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,"Aptamer-functionalized lipid nanoparticles can be directed to specific cell types, such as osteoblasts, enabling targeted delivery.","The evidence is insufficient to answer the question. The provided documents do not mention the use of aptamers in lipid nanoparticles for targeting specific cell types. While the documents discuss the use of nanoparticles for various applications, including vaccine development and drug delivery, they do not provide information on the specific topic of using aptamers in lipid nanoparticles for cell targeting.","[""169264"", ""17327939"", ""6219790""]","[""1469751""]",0.179487,0.411765,0.745012,789,False,,,,
hotpotqa_001_SystemC,hotpotqa,hotpotqa_148,System C,"""The Simpsons""' eighth season originally aired on the Fox network beginning on which date, the showrunners for the eighth production season were Bill Oakley and Josh Weinstein?","October 27, 1996","October 27, 1996","[""hotpotqa_148_doc_0"", ""hotpotqa_148_doc_4"", ""hotpotqa_148_doc_3"", ""hotpotqa_148_doc_2"", ""hotpotqa_148_doc_6"", ""hotpotqa_148_doc_1"", ""hotpotqa_148_doc_9"", ""hotpotqa_148_doc_5"", ""hotpotqa_148_doc_7"", ""hotpotqa_148_doc_8""]","[""hotpotqa_148_doc_0"", ""hotpotqa_148_doc_9""]",1.0,1.0,1.0,1800,False,,,,
hotpotqa_001_SystemB,hotpotqa,hotpotqa_148,System B,"""The Simpsons""' eighth season originally aired on the Fox network beginning on which date, the showrunners for the eighth production season were Bill Oakley and Josh Weinstein?","October 27, 1996","October 27, 1996","[""hotpotqa_148_doc_0"", ""hotpotqa_148_doc_4"", ""hotpotqa_148_doc_3"", ""hotpotqa_148_doc_2"", ""hotpotqa_148_doc_6"", ""hotpotqa_148_doc_1"", ""hotpotqa_148_doc_9"", ""hotpotqa_148_doc_5"", ""hotpotqa_148_doc_7"", ""hotpotqa_148_doc_8""]","[""hotpotqa_148_doc_0"", ""hotpotqa_148_doc_9""]",1.0,1.0,1.0,1028,False,,,,
hotpotqa_001_SystemA,hotpotqa,hotpotqa_148,System A,"""The Simpsons""' eighth season originally aired on the Fox network beginning on which date, the showrunners for the eighth production season were Bill Oakley and Josh Weinstein?","October 27, 1996","October 27, 1996","[""hotpotqa_148_doc_0"", ""hotpotqa_148_doc_4"", ""hotpotqa_148_doc_3"", ""hotpotqa_148_doc_2"", ""hotpotqa_148_doc_6"", ""hotpotqa_148_doc_1"", ""hotpotqa_148_doc_9""]","[""hotpotqa_148_doc_0"", ""hotpotqa_148_doc_9""]",1.0,1.0,1.0,1266,False,,,,
hotpotqa_002_SystemB,hotpotqa,hotpotqa_26,System B,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,Insufficient evidence,"[""hotpotqa_26_doc_5"", ""hotpotqa_26_doc_7"", ""hotpotqa_26_doc_1"", ""hotpotqa_26_doc_2"", ""hotpotqa_26_doc_8"", ""hotpotqa_26_doc_6"", ""hotpotqa_26_doc_0"", ""hotpotqa_26_doc_9"", ""hotpotqa_26_doc_3"", ""hotpotqa_95_doc_9""]","[""hotpotqa_26_doc_4"", ""hotpotqa_26_doc_7""]",0.0,0.0,0.0,1024,False,,,,
hotpotqa_002_SystemA,hotpotqa,hotpotqa_26,System A,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,Insufficient evidence,"[""hotpotqa_26_doc_5"", ""hotpotqa_26_doc_7"", ""hotpotqa_26_doc_1"", ""hotpotqa_26_doc_2"", ""hotpotqa_26_doc_8"", ""hotpotqa_26_doc_6"", ""hotpotqa_26_doc_0""]","[""hotpotqa_26_doc_4"", ""hotpotqa_26_doc_7""]",0.0,0.0,0.0,1173,False,,,,
hotpotqa_002_SystemC,hotpotqa,hotpotqa_26,System C,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,Atlanta Falcons,"[""hotpotqa_26_doc_5"", ""hotpotqa_26_doc_7"", ""hotpotqa_26_doc_1"", ""hotpotqa_26_doc_2"", ""hotpotqa_26_doc_8"", ""hotpotqa_26_doc_6"", ""hotpotqa_26_doc_0"", ""hotpotqa_26_doc_9"", ""hotpotqa_26_doc_3"", ""hotpotqa_95_doc_9""]","[""hotpotqa_26_doc_4"", ""hotpotqa_26_doc_7""]",1.0,1.0,1.0,1866,False,,,,
hotpotqa_003_SystemA,hotpotqa,hotpotqa_33,System A,Who portrayed Nevil Shed in the movie based on a true story surrounding the events leading to the 1966 NCAA University Division Basketball Championship?,Al Shearer,insufficient evidence,"[""hotpotqa_33_doc_4"", ""hotpotqa_33_doc_5"", ""hotpotqa_33_doc_1"", ""hotpotqa_33_doc_9"", ""hotpotqa_33_doc_3""]","[""hotpotqa_33_doc_1"", ""hotpotqa_33_doc_7""]",0.0,0.0,0.0,383,False,,,,
hotpotqa_003_SystemC,hotpotqa,hotpotqa_33,System C,Who portrayed Nevil Shed in the movie based on a true story surrounding the events leading to the 1966 NCAA University Division Basketball Championship?,Al Shearer,Al Shearer,"[""hotpotqa_33_doc_4"", ""hotpotqa_33_doc_5"", ""hotpotqa_33_doc_1"", ""hotpotqa_33_doc_9"", ""hotpotqa_33_doc_3"", ""hotpotqa_33_doc_2"", ""hotpotqa_33_doc_6"", ""hotpotqa_33_doc_8"", ""hotpotqa_33_doc_0"", ""hotpotqa_33_doc_7""]","[""hotpotqa_33_doc_1"", ""hotpotqa_33_doc_7""]",1.0,1.0,1.0,1256,False,,,,
hotpotqa_003_SystemB,hotpotqa,hotpotqa_33,System B,Who portrayed Nevil Shed in the movie based on a true story surrounding the events leading to the 1966 NCAA University Division Basketball Championship?,Al Shearer,Al Shearer,"[""hotpotqa_33_doc_4"", ""hotpotqa_33_doc_5"", ""hotpotqa_33_doc_1"", ""hotpotqa_33_doc_9"", ""hotpotqa_33_doc_3"", ""hotpotqa_33_doc_2"", ""hotpotqa_33_doc_6"", ""hotpotqa_33_doc_8"", ""hotpotqa_33_doc_0"", ""hotpotqa_33_doc_7""]","[""hotpotqa_33_doc_1"", ""hotpotqa_33_doc_7""]",1.0,1.0,1.0,1049,False,,,,
