run,dataset,model,retriever,method,mode,metric,n,mean,ci_low,ci_high
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,answer_coverage,100,0.423125,0.390353,0.459186
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,semantic_similarity,100,0.790447,0.767297,0.811873
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,total_tokens,100,853.67,813.9775,895.58075
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,answer_f1,100,0.416702,0.389878,0.443559
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,answer_coverage,100,0.434149,0.399383,0.468711
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,semantic_similarity,100,0.783903,0.759219,0.805733
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,total_tokens,100,595.11,554.88975,636.902
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,answer_f1,100,0.392896,0.366068,0.420625
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,answer_coverage,100,0.414429,0.382963,0.447427
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,semantic_similarity,100,0.781811,0.757803,0.803965
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,total_tokens,100,629.01,578.123,680.72125
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,answer_f1,100,0.202069,0.181378,0.225054
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,answer_coverage,100,0.158501,0.135304,0.182634
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,semantic_similarity,100,0.372495,0.309574,0.433573
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,total_tokens,100,113.45,110.4995,117.31
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,answer_f1,100,0.203428,0.182557,0.226034
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,answer_coverage,100,0.159347,0.136429,0.184384
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,semantic_similarity,100,0.387392,0.326715,0.449405
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,total_tokens,100,112.74,110.21,115.6815
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive Context,answer_aware_fallback,answer_f1,100,0.34181,0.310512,0.374405
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive Context,answer_aware_fallback,answer_coverage,100,0.475374,0.4316,0.519278
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive Context,answer_aware_fallback,semantic_similarity,100,0.776074,0.751157,0.800362
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive Context,answer_aware_fallback,total_tokens,100,813.63,746.5385,893.88925
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,answer_f1,100,0.341166,0.309088,0.372787
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,answer_coverage,100,0.508553,0.461175,0.55585
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,semantic_similarity,100,0.783089,0.756998,0.808058
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,total_tokens,100,2136.71,2050.1965,2232.805
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-10,fixed_10_full,answer_f1,100,0.337888,0.306593,0.37184
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-10,fixed_10_full,answer_coverage,100,0.484374,0.439667,0.526401
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-10,fixed_10_full,semantic_similarity,100,0.772815,0.746708,0.79706
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-10,fixed_10_full,total_tokens,100,3496.92,3357.05825,3635.642
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,answer_f1,100,0.344154,0.311709,0.378266
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,answer_coverage,100,0.476303,0.433204,0.521709
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,semantic_similarity,100,0.774749,0.749432,0.798854
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,total_tokens,100,748.35,716.029,781.99825
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-3,fixed_3_full,answer_f1,100,0.333421,0.305024,0.363095
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-3,fixed_3_full,answer_coverage,100,0.479194,0.435079,0.521868
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-3,fixed_3_full,semantic_similarity,100,0.774012,0.749284,0.798006
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-3,fixed_3_full,total_tokens,100,1185.91,1130.57625,1244.334
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,answer_f1,100,0.345397,0.314646,0.380237
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,answer_coverage,100,0.504421,0.460777,0.549347
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,semantic_similarity,100,0.780551,0.755963,0.804584
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,total_tokens,100,1147.0,1095.01675,1201.824
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-5,fixed_5_full,answer_f1,100,0.343271,0.313365,0.373792
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-5,fixed_5_full,answer_coverage,100,0.49315,0.452267,0.536726
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-5,fixed_5_full,semantic_similarity,100,0.775607,0.751068,0.799411
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-5,fixed_5_full,total_tokens,100,1854.22,1772.32425,1933.93925
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,answer_f1,100,0.346739,0.315419,0.381006
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,answer_coverage,100,0.500998,0.456622,0.550328
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,semantic_similarity,100,0.788313,0.76366,0.810043
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,total_tokens,100,1553.03,1484.47125,1621.92475
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-7,fixed_7_full,answer_f1,100,0.336222,0.305536,0.368864
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-7,fixed_7_full,answer_coverage,100,0.481267,0.438915,0.523676
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-7,fixed_7_full,semantic_similarity,100,0.774164,0.74952,0.797251
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Fixed Top-7,fixed_7_full,total_tokens,100,2541.01,2432.2295,2648.80425
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,answer_f1,100,0.345288,0.314022,0.378825
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,answer_coverage,100,0.483248,0.438261,0.529882
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,semantic_similarity,100,0.778163,0.75252,0.802582
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,total_tokens,100,1082.94,1001.211,1174.49225
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Heuristic Rules,heuristic_rules_full,answer_f1,100,0.339964,0.309845,0.369426
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Heuristic Rules,heuristic_rules_full,answer_coverage,100,0.488132,0.446503,0.533627
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Heuristic Rules,heuristic_rules_full,semantic_similarity,100,0.774564,0.750236,0.797483
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Heuristic Rules,heuristic_rules_full,total_tokens,100,1749.54,1624.44525,1879.627
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,answer_f1,100,0.199571,0.177808,0.221983
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,answer_coverage,100,0.213894,0.181118,0.249179
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,semantic_similarity,100,0.4995,0.44392,0.548329
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,total_tokens,100,118.9,116.33,121.65
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,No Retrieval,no_retrieval_full,answer_f1,100,0.204346,0.182603,0.227001
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,No Retrieval,no_retrieval_full,answer_coverage,100,0.217608,0.187861,0.24922
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,No Retrieval,no_retrieval_full,semantic_similarity,100,0.541676,0.49987,0.584784
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,No Retrieval,no_retrieval_full,total_tokens,100,119.78,117.11,122.5605
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,answer_f1,100,0.342478,0.311368,0.375428
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,answer_coverage,100,0.499127,0.451,0.546611
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,semantic_similarity,100,0.779144,0.754808,0.803015
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,total_tokens,100,1668.18,1551.25875,1794.47325
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,answer_f1,100,0.347118,0.313942,0.380727
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,answer_coverage,100,0.507899,0.461503,0.553833
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,semantic_similarity,100,0.781041,0.753879,0.804436
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,total_tokens,100,2135.75,2043.528,2228.29575
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,answer_f1,100,0.344165,0.31355,0.378578
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,answer_coverage,100,0.491514,0.447482,0.535887
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,semantic_similarity,100,0.774441,0.748355,0.799761
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,total_tokens,100,3496.26,3363.2225,3633.96025
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,answer_f1,100,0.351719,0.318917,0.387198
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,answer_coverage,100,0.490403,0.443217,0.539641
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,semantic_similarity,100,0.781094,0.756792,0.805303
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,total_tokens,100,746.6,713.0365,779.56325
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,answer_f1,100,0.340076,0.311162,0.37229
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,answer_coverage,100,0.482405,0.439965,0.523147
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,semantic_similarity,100,0.779562,0.756443,0.801269
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,total_tokens,100,1171.74,1120.80875,1225.19725
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,answer_f1,100,0.356456,0.326851,0.389984
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,answer_coverage,100,0.510558,0.462583,0.559906
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,semantic_similarity,100,0.788954,0.76486,0.81024
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,total_tokens,100,1156.78,1103.162,1215.87
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,answer_f1,100,0.353789,0.32478,0.384157
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,answer_coverage,100,0.512807,0.467582,0.560331
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,semantic_similarity,100,0.782426,0.757935,0.805179
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,total_tokens,100,1860.12,1780.27675,1941.27025
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,answer_f1,100,0.351265,0.319811,0.386966
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,answer_coverage,100,0.50321,0.458486,0.551261
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,semantic_similarity,100,0.787096,0.764827,0.80758
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,total_tokens,100,1545.2,1477.689,1614.8365
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,answer_f1,100,0.341206,0.310613,0.371605
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,answer_coverage,100,0.492835,0.448764,0.536533
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,semantic_similarity,100,0.779344,0.755082,0.801181
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,total_tokens,100,2524.13,2423.594,2621.431
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,answer_f1,100,0.351002,0.318159,0.386497
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,answer_coverage,100,0.495157,0.445727,0.543792
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,semantic_similarity,100,0.788052,0.764341,0.809502
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,heuristic_rules_evidence_ngram_neighbors,heuristic_rules_evidence_ngram_neighbors,total_tokens,100,1313.46,1230.3795,1406.5935
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,answer_f1,100,0.349106,0.318172,0.380089
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,answer_coverage,100,0.504544,0.456539,0.547476
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,semantic_similarity,100,0.780216,0.752848,0.80257
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Heuristic Rules,heuristic_rules_full,total_tokens,100,2126.33,1986.70575,2261.99225
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,answer_f1,100,0.204201,0.184761,0.226141
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,answer_coverage,100,0.223612,0.193408,0.259417
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,semantic_similarity,100,0.528342,0.480033,0.577499
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,no_retrieval_evidence_ngram_neighbors,no_retrieval_evidence_ngram_neighbors,total_tokens,100,120.53,117.72975,123.35075
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,answer_f1,100,0.196992,0.176219,0.219237
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,answer_coverage,100,0.214839,0.183506,0.249706
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,semantic_similarity,100,0.507927,0.456337,0.558075
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,No Retrieval,no_retrieval_full,total_tokens,100,119.88,117.24,122.8
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive Context,answer_aware_fallback,answer_f1,100,0.339011,0.30543,0.37431
