run,dataset,model,retriever,comparison,metric,n,mean_difference,ci_low,ci_high,interpretation
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive vs Heuristic Rules,token_reduction,100,-0.539891,-0.648333,-0.441107,positive means Safe Adaptive saves tokens
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_f1,100,-0.028,-0.065,-0.003,positive favors Safe Adaptive
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_coverage,100,-0.02,-0.053333,0.003333,positive favors Safe Adaptive
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,semantic_similarity,100,-0.028165,-0.06,-0.000556,positive favors Safe Adaptive
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,total_tokens,100,-470.96,-528.8615,-412.98,negative means Safe Adaptive uses fewer tokens
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.282313,0.254538,0.309548,positive means Safe Adaptive saves tokens
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_f1,100,0.029,-0.003,0.068,positive favors Safe Adaptive
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_coverage,100,0.036667,0.006667,0.073333,positive favors Safe Adaptive
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,semantic_similarity,100,0.029444,-0.000556,0.065805,positive favors Safe Adaptive
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,total_tokens,100,120.74,61.797,178.90125,negative means Safe Adaptive uses fewer tokens
hotpotqa_llama70b_final_eval100,HotpotQA,Llama-70B,TF-IDF,Safe Adaptive vs Heuristic Rules,token_reduction,100,-0.279448,-0.384181,-0.180249,positive means Safe Adaptive saves tokens
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,answer_f1,100,0.023736,-0.023845,0.073173,positive favors Safe Adaptive
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,answer_coverage,100,0.026923,-0.025904,0.08,positive favors Safe Adaptive
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,semantic_similarity,100,0.024634,-0.021074,0.072728,positive favors Safe Adaptive
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,total_tokens,100,-521.88,-586.04275,-459.55,negative means Safe Adaptive uses fewer tokens
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.272335,0.244709,0.300183,positive means Safe Adaptive saves tokens
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,answer_f1,100,0.057732,0.006298,0.112617,positive favors Safe Adaptive
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,answer_coverage,100,0.04,-0.02,0.105,positive favors Safe Adaptive
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,semantic_similarity,100,0.056535,0.005795,0.113142,positive favors Safe Adaptive
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,total_tokens,100,166.61,96.66325,237.7255,negative means Safe Adaptive uses fewer tokens
hotpotqa_mistral_final_eval100,HotpotQA,Mistral,TF-IDF,Safe Adaptive vs Heuristic Rules,token_reduction,100,-0.317641,-0.430542,-0.210343,positive means Safe Adaptive saves tokens
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,answer_f1,100,0.004341,-0.008031,0.016531,positive favors Safe Adaptive
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,answer_coverage,100,-0.008807,-0.036594,0.016476,positive favors Safe Adaptive
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,semantic_similarity,100,0.001598,-0.010939,0.015608,positive favors Safe Adaptive
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,total_tokens,100,-2472.57,-2659.33825,-2267.96575,negative means Safe Adaptive uses fewer tokens
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.72429,0.677319,0.758591,positive means Safe Adaptive saves tokens
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,answer_f1,100,-0.002013,-0.012397,0.00897,positive favors Safe Adaptive
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,answer_coverage,100,-0.008247,-0.028765,0.01296,positive favors Safe Adaptive
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,semantic_similarity,100,0.005852,-0.00491,0.01744,positive favors Safe Adaptive
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,total_tokens,100,-889.7,-1076.60575,-674.1675,negative means Safe Adaptive uses fewer tokens
scifact_crossenc_llama70b_final_eval100,SciFact,Llama-70B,Cross-encoder,Safe Adaptive vs Heuristic Rules,token_reduction,100,0.442846,0.332353,0.520597,positive means Safe Adaptive saves tokens
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_f1,100,0.003285,-0.008032,0.013787,positive favors Safe Adaptive
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_coverage,100,-0.009065,-0.03131,0.016476,positive favors Safe Adaptive
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,semantic_similarity,100,-0.000369,-0.011904,0.010287,positive favors Safe Adaptive
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,total_tokens,100,-2478.28,-2659.4885,-2261.58375,negative means Safe Adaptive uses fewer tokens
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.725083,0.670171,0.76318,positive means Safe Adaptive saves tokens
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_f1,100,-0.001218,-0.012164,0.010175,positive favors Safe Adaptive
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_coverage,100,-0.007921,-0.029078,0.013763,positive favors Safe Adaptive
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,semantic_similarity,100,-0.005895,-0.019098,0.006659,positive favors Safe Adaptive
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,total_tokens,100,-1300.22,-1470.2865,-1098.752,negative means Safe Adaptive uses fewer tokens
scifact_llama70b_final_eval100,SciFact,Llama-70B,TF-IDF,Safe Adaptive vs Heuristic Rules,token_reduction,100,0.571467,0.498165,0.627192,positive means Safe Adaptive saves tokens
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,answer_f1,100,0.049383,0.028227,0.070975,positive favors Safe Adaptive
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,answer_coverage,100,0.102395,0.046146,0.155013,positive favors Safe Adaptive
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,semantic_similarity,100,0.062122,0.031754,0.094296,positive favors Safe Adaptive
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,total_tokens,100,-2796.13,-2891.51275,-2698.55275,negative means Safe Adaptive uses fewer tokens
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.737628,0.719285,0.753924,positive means Safe Adaptive saves tokens
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,answer_f1,100,-0.011627,-0.031648,0.009344,positive favors Safe Adaptive
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,answer_coverage,100,-0.0216,-0.069162,0.024106,positive favors Safe Adaptive
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,semantic_similarity,100,-0.011328,-0.036781,0.013993,positive favors Safe Adaptive
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,total_tokens,100,-1666.74,-1819.4855,-1521.39625,negative means Safe Adaptive uses fewer tokens
scifact_mistral_final_eval100,SciFact,Mistral,TF-IDF,Safe Adaptive vs Heuristic Rules,token_reduction,100,0.606402,0.577868,0.633285,positive means Safe Adaptive saves tokens
