retriever,query_id,ranked_doc_ids,scores,ndcg_at_10,mrr_at_10,recall_at_10
tfidf,5a8b20335542996c9b8d5fb3,"[""5a8b20335542996c9b8d5fb3::doc_7::Charlotte Hornets"", ""5a8b20335542996c9b8d5fb3::doc_9::2014\u201315 Charlotte Hornets season"", ""5a8b20335542996c9b8d5fb3::doc_3::Charlotte Hornets draft history"", ""5a8b20335542996c9b8d5fb3::doc_0::Charlotte Hornets all-time roster"", ""5a8b20335542996c9b8d5fb3::doc_6::List of Charlotte Hornets seasons"", ""5a8b20335542996c9b8d5fb3::doc_2::1992\u201393 Charlotte Hornets season"", ""5a8b20335542996c9b8d5fb3::doc_8::Muggsy Bogues"", ""5a8b20335542996c9b8d5fb3::doc_5::2003 WNBA season"", ""5a8b20335542996c9b8d5fb3::doc_1::List of Texas Tech Lady Raiders in the WNBA Draft"", ""5ae52c0f5542992663a4f12e::doc_2::Port Charlotte High School""]","[0.504584, 0.490944, 0.467709, 0.431682, 0.426268, 0.405895, 0.388158, 0.325097, 0.257583, 0.230493]",0.42279,0.166667,1.0
tfidf,5a85fb085542994775f606de,"[""5a85fb085542994775f606de::doc_7::Legend (film score)"", ""5a85fb085542994775f606de::doc_1::Alien (soundtrack)"", ""5a85fb085542994775f606de::doc_4::Aliens (soundtrack)"", ""5a85fb085542994775f606de::doc_0::Christus Apollo"", ""5a85fb085542994775f606de::doc_3::Innerspace"", ""5a85fb085542994775f606de::doc_2::L.A. Confidential (soundtrack)"", ""5a85fb085542994775f606de::doc_9::Lionheart (1987 film)"", ""5a85fb085542994775f606de::doc_8::Total Recall (1990 film)"", ""5ab341f755429969a97a8114::doc_2::My Kind of Town"", ""5a85fb085542994775f606de::doc_5::Mulan (soundtrack)""]","[0.460584, 0.332985, 0.3287, 0.302658, 0.262895, 0.244231, 0.240094, 0.218947, 0.18917, 0.184547]",0.386853,0.5,0.5
tfidf,5a7be2595542997c3ec972ac,"[""5a7be2595542997c3ec972ac::doc_0::The Mark on the Wall"", ""5a7be2595542997c3ec972ac::doc_1::Emma Bull"", ""5a7be2595542997c3ec972ac::doc_5::Jane de Gay"", ""5a7be2595542997c3ec972ac::doc_4::Me! I'm Afraid of Virginia Woolf"", ""5a7be2595542997c3ec972ac::doc_2::Virginia Woolf"", ""5a7be2595542997c3ec972ac::doc_6::Freshwater (opera)"", ""5a7be2595542997c3ec972ac::doc_9::Jane Marcus"", ""5a7633ad5542992db9473741::doc_8::Northern Virginia Campaign"", ""5a7be2595542997c3ec972ac::doc_8::Moments of Being"", ""5a7be2595542997c3ec972ac::doc_3::Orlando: A Biography""]","[0.304282, 0.285286, 0.284705, 0.270437, 0.243031, 0.220464, 0.215058, 0.200966, 0.195778, 0.186455]",0.624051,0.5,1.0
tfidf,5a77152355429966f1a36c2e,"[""5a77152355429966f1a36c2e::doc_8::What Are Little Boys Made Of?"", ""5a77152355429966f1a36c2e::doc_9::What Are Little Girls Made Of?"", ""5a77152355429966f1a36c2e::doc_1::Pretty Little Dutch Girl"", ""5a77152355429966f1a36c2e::doc_6::Did You Ever See a Lassie?"", ""5a77152355429966f1a36c2e::doc_3::Aiken Drum"", ""5a77152355429966f1a36c2e::doc_7::A Wise Old Owl"", ""5a77152355429966f1a36c2e::doc_0::Billy Boy"", ""5a77152355429966f1a36c2e::doc_2::Tweedledum and Tweedledee"", ""5a77152355429966f1a36c2e::doc_5::Three Little Kittens"", ""5a77152355429966f1a36c2e::doc_4::Row, Row, Row Your Boat""]","[0.653267, 0.474411, 0.402465, 0.347779, 0.342524, 0.338098, 0.320874, 0.320346, 0.293733, 0.235443]",1.0,1.0,1.0
tfidf,5a8f4c8d554299458435d5a3,"[""5a8f4c8d554299458435d5a3::doc_2::Scott Parkin"", ""5a8f4c8d554299458435d5a3::doc_0::Yvonne Ridley"", ""5a8f4c8d554299458435d5a3::doc_1::Mobil Producing Nigeria"", ""5a8f4c8d554299458435d5a3::doc_5::Exxon"", ""5a8f4c8d554299458435d5a3::doc_3::Halliburton"", ""5ac298f9554299657fa28fc9::doc_9::Josey Scott"", ""5a8f4c8d554299458435d5a3::doc_9::Dummy corporation"", ""5a8f4c8d554299458435d5a3::doc_7::Corporate synergy"", ""5a8c4c625542995e66a475a1::doc_1::486th Flight Test Squadron"", ""5a8f4c8d554299458435d5a3::doc_8::Religious Technology Center""]","[0.345318, 0.168368, 0.165699, 0.149886, 0.146712, 0.141513, 0.120736, 0.098098, 0.096557, 0.092292]",0.850345,1.0,1.0
tfidf,5a80840f554299485f59863b,"[""5a80840f554299485f59863b::doc_3::Rose McGowan"", ""5a80840f554299485f59863b::doc_5::Jawbreaker (film)"", ""5a80840f554299485f59863b::doc_4::Kerr Smith"", ""5a80840f554299485f59863b::doc_2::Kay Tagal Kang Hinintay"", ""5a80840f554299485f59863b::doc_0::Safe Harbor (TV series)"", ""5a80840f554299485f59863b::doc_6::Sarah Drew"", ""5a80840f554299485f59863b::doc_7::Charmed (season 4)"", ""5ab2c5e255429916697740ba::doc_9::NHL All-Star Skills Competition"", ""5a80840f554299485f59863b::doc_8::List of Charmed characters"", ""5ac2ffbd554299677310267b::doc_4::Hilarie Burton""]","[0.44985, 0.248449, 0.203132, 0.201047, 0.196124, 0.186166, 0.149787, 0.144651, 0.143028, 0.138107]",1.0,1.0,1.0
tfidf,5a8361b65542992ef85e22a0,"[""5a8361b65542992ef85e22a0::doc_2::Vince Phillips"", ""5a8361b65542992ef85e22a0::doc_6::Jeff Malcolm"", ""5a8361b65542992ef85e22a0::doc_4::Fatai Onikeke"", ""5a8361b65542992ef85e22a0::doc_5::Julian Holland (boxer)"", ""5a8361b65542992ef85e22a0::doc_7::Zab Judah"", ""5a8361b65542992ef85e22a0::doc_1::Bunny Grant"", ""5a8361b65542992ef85e22a0::doc_0::Ralph Charles"", ""5a8361b65542992ef85e22a0::doc_9::Lawrence Austin"", ""5a8361b65542992ef85e22a0::doc_3::Andrew Murray (Guyanese boxer)"", ""5adf65555542992d7e9f9334::doc_2::New York State Writers Hall of Fame""]","[0.408016, 0.335832, 0.295769, 0.295397, 0.265618, 0.246938, 0.235712, 0.203534, 0.20234, 0.16094]",0.613147,1.0,0.5
tfidf,5ae7ba7a5542993210983f12,"[""5ae7ba7a5542993210983f12::doc_9::Stay (Sugarland song)"", ""5ae7ba7a5542993210983f12::doc_2::U Know What's Up"", ""5ae7ba7a5542993210983f12::doc_5::No One (Alicia Keys song)"", ""5ae7ba7a5542993210983f12::doc_6::Feel Good Inc."", ""5ab96ab755429970cfb8eacd::doc_4::Army (Ellie Goulding song)"", ""5ae7ba7a5542993210983f12::doc_8::Yeah! (Usher song)"", ""5ae7ba7a5542993210983f12::doc_4::I Don't Wanna Know"", ""5ae7ba7a5542993210983f12::doc_1::Stay (Shakespears Sister song)"", ""5a77c1505542997042120b1b::doc_6::Chattahoochee (song)"", ""5ae7ba7a5542993210983f12::doc_3::Billy Ray Cyrus discography""]","[0.328059, 0.328048, 0.324014, 0.30529, 0.278424, 0.277081, 0.260693, 0.258649, 0.256019, 0.239583]",0.42279,0.166667,1.0
tfidf,5ac2acff55429921a00ab02b,"[""5ac2acff55429921a00ab02b::doc_6::The Hard Easy (Adventure Time)"", ""5ac2acff55429921a00ab02b::doc_0::The Hard Easy (film)"", ""5ac2acff55429921a00ab02b::doc_2::Brother from Another Series"", ""5ac2acff55429921a00ab02b::doc_1::Moving On (The Office)"", ""5ac2acff55429921a00ab02b::doc_3::Roy's Wedding"", ""5ac2acff55429921a00ab02b::doc_9::Andy's Ancestry"", ""5ac2acff55429921a00ab02b::doc_5::The Farm (The Office)"", ""5ac2acff55429921a00ab02b::doc_8::Evicted!"", ""5ac2acff55429921a00ab02b::doc_7::Web Weirdos"", ""5a77152355429966f1a36c2e::doc_9::What Are Little Girls Made Of?""]","[0.440014, 0.303185, 0.291951, 0.279211, 0.278557, 0.278318, 0.235624, 0.231027, 0.203766, 0.170859]",0.613147,1.0,0.5
tfidf,5aba7cfe554299232ef4a2fd,"[""5aba7cfe554299232ef4a2fd::doc_0::2017\u201318 Wigan Athletic F.C. season"", ""5aba7cfe554299232ef4a2fd::doc_1::2007\u201308 Wigan Athletic F.C. season"", ""5aba7cfe554299232ef4a2fd::doc_7::2006\u201307 Wigan Athletic F.C. season"", ""5aba7cfe554299232ef4a2fd::doc_5::1979\u201380 Wigan Athletic F.C. season"", ""5aba7cfe554299232ef4a2fd::doc_9::List of Wigan Borough F.C. players"", ""5aba7cfe554299232ef4a2fd::doc_8::1978\u201379 Wigan Athletic F.C. season"", ""5aba7cfe554299232ef4a2fd::doc_3::Springfield Park (Wigan)"", ""5aba7cfe554299232ef4a2fd::doc_2::EFL Cup"", ""5aba7cfe554299232ef4a2fd::doc_6::Nick Powell"", ""5ae0aaf455429945ae959401::doc_1::National League North""]","[0.480637, 0.456806, 0.451985, 0.449271, 0.392629, 0.351489, 0.345364, 0.268138, 0.241106, 0.239827]",0.806574,1.0,1.0
tfidf,5ae5aba0554299546bf82f17,"[""5ae5aba0554299546bf82f17::doc_4::Teen Titans Go! (TV series)"", ""5ae5aba0554299546bf82f17::doc_0::List of Teen Titans Go! episodes"", ""5ae5aba0554299546bf82f17::doc_6::Teen Titans: Trouble in Tokyo"", ""5ae5aba0554299546bf82f17::doc_1::Teen Titans (season 4)"", ""5ae5aba0554299546bf82f17::doc_5::Teen Titans (season 1)"", ""5ae5aba0554299546bf82f17::doc_2::Tara Strong"", ""5ae5aba0554299546bf82f17::doc_8::Tara Strong filmography"", ""5ae5aba0554299546bf82f17::doc_7::Teen Titans"", ""5ae5aba0554299546bf82f17::doc_9::List of Teen Titans episodes"", ""5ae5aba0554299546bf82f17::doc_3::Roy Harper (comics)""]","[0.616934, 0.529478, 0.487502, 0.483458, 0.482291, 0.424401, 0.420696, 0.393118, 0.339909, 0.316523]",0.831555,1.0,1.0
tfidf,5ae1f4cb554299234fd0436d,"[""5ae1f4cb554299234fd0436d::doc_0::122nd SS-Standarte"", ""5ae1f4cb554299234fd0436d::doc_4::122nd Division"", ""5ae1f4cb554299234fd0436d::doc_5::122nd Ohio Infantry"", ""5ae1f4cb554299234fd0436d::doc_7::122d Fighter Squadron"", ""5ae1f4cb554299234fd0436d::doc_9::122nd Division (Imperial Japanese Army)"", ""5ae1f4cb554299234fd0436d::doc_6::122nd Infantry Regiment (United States)"", ""5ae1f4cb554299234fd0436d::doc_1::122nd Hydroplane Liaison Squadron"", ""5ae1f4cb554299234fd0436d::doc_8::122nd (Muskoka) Battalion, CEF"", ""5a77152355429966f1a36c2e::doc_9::What Are Little Girls Made Of?"", ""5a7166395542994082a3e814::doc_0::North Kansas City, Missouri""]","[0.711468, 0.296159, 0.238254, 0.201656, 0.189181, 0.185427, 0.158873, 0.153476, 0.14187, 0.122899]",0.613147,1.0,0.5
tfidf,5ae7e1fc55429952e35ea9cc,"[""5ae7e1fc55429952e35ea9cc::doc_3::Koningsdag"", ""5ae7e1fc55429952e35ea9cc::doc_7::Oranjegekte"", ""5ae7e1fc55429952e35ea9cc::doc_0::Queen's Day (disambiguation)"", ""5ae7e1fc55429952e35ea9cc::doc_9::Christmas in the Basque Country"", ""5ae7e1fc55429952e35ea9cc::doc_2::Garifuna Settlement Day"", ""5ae7e1fc55429952e35ea9cc::doc_8::White Sunday"", ""5ae7e1fc55429952e35ea9cc::doc_4::Jounen Kw\u00e9y\u00f2l"", ""5ae7e1fc55429952e35ea9cc::doc_5::The Eighth (United States)"", ""5ae7e1fc55429952e35ea9cc::doc_1::Children's Day (Japan)"", ""5a7a5b3a5542996c55b2dd71::doc_2::Great Hall of the People""]","[0.316495, 0.312908, 0.265845, 0.219633, 0.18734, 0.178635, 0.177021, 0.147693, 0.142204, 0.127743]",1.0,1.0,1.0
tfidf,5ae37c765542992f92d822d4,"[""5ae37c765542992f92d822d4::doc_9::The Tragedy of Romeo and Juliet (film)"", ""5ae37c765542992f92d822d4::doc_5::Tromeo and Juliet"", ""5ae37c765542992f92d822d4::doc_2::Romeo + Juliet"", ""5ae37c765542992f92d822d4::doc_6::Romeo \u00d7 Juliet"", ""5ae37c765542992f92d822d4::doc_1::Romeo"", ""5ae37c765542992f92d822d4::doc_0::Romeo and Juliet on screen"", ""5ae37c765542992f92d822d4::doc_3::A rose by any other name would smell as sweet"", ""5ae37c765542992f92d822d4::doc_7::James Gunn"", ""5ae37c765542992f92d822d4::doc_8::James Gunn's PG Porn"", ""5ae37c765542992f92d822d4::doc_4::List of Romeo \u00d7 Juliet episodes""]","[0.519333, 0.518773, 0.477986, 0.464249, 0.412831, 0.396566, 0.328955, 0.285991, 0.285496, 0.265049]",0.580279,0.5,1.0
tfidf,5ae33c4d5542992f92d82262,"[""5ae33c4d5542992f92d82262::doc_4::Robert Suettinger"", ""5ae33c4d5542992f92d82262::doc_6::National Intelligence Cross"", ""5ae33c4d5542992f92d82262::doc_0::Director of the Defense Intelligence Agency"", ""5ae33c4d5542992f92d82262::doc_3::National Intelligence Board"", ""5ae33c4d5542992f92d82262::doc_8::Ground Intelligence Officer"", ""5ae33c4d5542992f92d82262::doc_7::National Intelligence Reform Medal"", ""5ae33c4d5542992f92d82262::doc_2::National Intelligence Medal of Achievement"", ""5ae33c4d5542992f92d82262::doc_9::National Intelligence Estimate"", ""5ae33c4d5542992f92d82262::doc_1::National Intelligence Superior Service Medal"", ""5ae33c4d5542992f92d82262::doc_5::Bill Clinton""]","[0.50906, 0.370077, 0.333198, 0.32955, 0.310573, 0.309937, 0.309247, 0.304681, 0.266598, 0.147647]",0.790386,1.0,1.0
tfidf,5a77cb335542997042120b3a,"[""5a77cb335542997042120b3a::doc_9::MEO Rip Curl Pro Portugal"", ""5a77cb335542997042120b3a::doc_3::Moche Rip Curl Pro Portugal 2014"", ""5a77cb335542997042120b3a::doc_1::Moche Rip Curl Pro Portugal 2015"", ""5a77cb335542997042120b3a::doc_7::MEO Rip Curl Pro Portugal 2016"", ""5a77cb335542997042120b3a::doc_4::MEO Rip Curl Pro Portugal 2017"", ""5a77cb335542997042120b3a::doc_2::John John Florence"", ""5a77cb335542997042120b3a::doc_5::Supertubos"", ""5a77cb335542997042120b3a::doc_6::Andy Irons"", ""5a77cb335542997042120b3a::doc_0::Coco Ho"", ""5a77cb335542997042120b3a::doc_8::Barton Lynch""]","[0.58076, 0.457793, 0.452142, 0.430928, 0.428292, 0.292808, 0.266874, 0.254224, 0.249483, 0.220373]",0.831555,1.0,1.0
tfidf,5a8979f4554299669944a52e,"[""5a8979f4554299669944a52e::doc_2::Suburban Madness"", ""5a8979f4554299669944a52e::doc_6::Bobbi Bacha"", ""5a8979f4554299669944a52e::doc_9::Middle name"", ""5a8979f4554299669944a52e::doc_0::Barend"", ""5a8979f4554299669944a52e::doc_3::Latvian name"", ""5a77152355429966f1a36c2e::doc_9::What Are Little Girls Made Of?"", ""5a8979f4554299669944a52e::doc_8::Chris Funk"", ""5a80721b554299485f5985ef::doc_0::Livesey Hall War Memorial"", ""5a77152355429966f1a36c2e::doc_8::What Are Little Boys Made Of?"", ""5ab6ba245542995eadef007f::doc_3::As the Music Plays""]","[0.531634, 0.511043, 0.162318, 0.157741, 0.12991, 0.116389, 0.115328, 0.10697, 0.102231, 0.090213]",0.386853,0.5,0.5
tfidf,5a713ea95542994082a3e6e4,"[""5a713ea95542994082a3e6e4::doc_4::Alvaro Mexia"", ""5a713ea95542994082a3e6e4::doc_1::Diplomatic mission"", ""5a713ea95542994082a3e6e4::doc_7::Head of mission"", ""5a713ea95542994082a3e6e4::doc_8::United States Mission to the European Union"", ""5a713ea95542994082a3e6e4::doc_0::High Commission of Australia, London"", ""5a713ea95542994082a3e6e4::doc_2::Diplomatic bag"", ""5a713ea95542994082a3e6e4::doc_3::Embassy of China, London"", ""5a713ea95542994082a3e6e4::doc_6::List of diplomatic missions of Azerbaijan"", ""5a713ea95542994082a3e6e4::doc_9::Indigenous peoples of Florida"", ""5ade51b45542997c77adedf4::doc_0::Shawnee Mission District Stadium""]","[0.485441, 0.348117, 0.294158, 0.269008, 0.268936, 0.231221, 0.207187, 0.180656, 0.176455, 0.138724]",0.797723,1.0,1.0
tfidf,5a78bd9b554299078472774a,"[""5a78bd9b554299078472774a::doc_0::Edmund Leach"", ""5a78bd9b554299078472774a::doc_8::Alfred Gell"", ""5a78bd9b554299078472774a::doc_7::Association of Social Anthropologists"", ""5a78bd9b554299078472774a::doc_2::Social Anthropology (journal)"", ""5a78bd9b554299078472774a::doc_1::Thomas Hylland Eriksen"", ""5ae2b770554299495565db0f::doc_7::British Journal of Social Psychology"", ""5ac3e0f7554299194317388b::doc_3::La Belle Am\u00e9ricaine"", ""5a78bd9b554299078472774a::doc_3::Network Analysis and Ethnographic Problems"", ""5a74c85055429916b0164218::doc_1::British people"", ""5a77152355429966f1a36c2e::doc_8::What Are Little Boys Made Of?""]","[0.480161, 0.39085, 0.266395, 0.157801, 0.129932, 0.12085, 0.104007, 0.093339, 0.089532, 0.084845]",1.0,1.0,1.0
tfidf,5a7625e8554299109176e66a,"[""5a7625e8554299109176e66a::doc_9::1925 Birthday Honours"", ""5a7625e8554299109176e66a::doc_4::Birthday Honours"", ""5a7625e8554299109176e66a::doc_7::1951 Birthday Honours"", ""5a7625e8554299109176e66a::doc_0::2017 Birthday Honours"", ""5a7625e8554299109176e66a::doc_3::2016 Birthday Honours"", ""5a7625e8554299109176e66a::doc_2::2015 Birthday Honours"", ""5a7625e8554299109176e66a::doc_5::1965 Birthday Honours"", ""5a7625e8554299109176e66a::doc_1::2014 Birthday Honours"", ""5a7625e8554299109176e66a::doc_8::2013 Birthday Honours"", ""5ae7e1fc55429952e35ea9cc::doc_0::Queen's Day (disambiguation)""]","[0.693274, 0.509368, 0.502649, 0.460778, 0.458501, 0.426545, 0.417713, 0.410186, 0.408273, 0.182142]",0.613147,1.0,0.5
tfidf,5ae2dd2055429928c423950d,"[""5ae2dd2055429928c423950d::doc_7::East Lempster, New Hampshire"", ""5ae2dd2055429928c423950d::doc_2::Sullivan County, New Hampshire"", ""5ae2dd2055429928c423950d::doc_9::Lempster, New Hampshire"", ""5ae2dd2055429928c423950d::doc_6::Carroll County, New Hampshire"", ""5ae2dd2055429928c423950d::doc_5::Hampden County, Massachusetts"", ""5ae2dd2055429928c423950d::doc_3::Dover, New Hampshire"", ""5ae2dd2055429928c423950d::doc_4::Woodsville, New Hampshire"", ""5a75e05c55429976ec32bc5f::doc_9::Brown County, Kansas"", ""5a85eed75542996432c5713b::doc_6::Seminole County, Oklahoma"", ""5a8db19d5542994ba4e3dd00::doc_3::Amherst, Massachusetts""]","[0.645987, 0.568772, 0.55691, 0.459645, 0.440147, 0.406825, 0.381255, 0.331558, 0.30658, 0.282493]",1.0,1.0,1.0
